Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Roll,Pitch,YawIMU,MagX,MagY,MagZ,Lat,Lon,Alt,Speed,Course,Sats,PDOP,HDOP,VDOP
2025-06-06T17:58:28.357604,-0.029,-0.888,5.615,5.737,-9.644,14.474,-29.136,63.765,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.185,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:28.451128,-0.049,-0.805,5.615,6.653,-11.902,14.474,-29.685,62.666,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.185,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:28.747175,0.003,-0.867,5.615,6.653,-11.902,14.474,-30.905,59.496,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.185,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:28.831953,0.028,-0.938,-2.930,2.686,-4.028,14.458,-31.113,58.920,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.185,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:28.928349,0.043,-0.987,-1.465,3.479,-1.953,14.474,-31.355,58.645,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.203,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:29.026171,0.029,-1.014,2.075,4.150,-3.174,14.469,-31.663,58.409,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.203,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:29.133327,0.005,-1.009,6.042,5.005,-6.470,14.491,-32.053,57.931,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.222,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:29.225908,-0.016,-0.970,8.179,5.310,-8.301,14.474,-32.437,57.173,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.222,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:29.333121,-0.029,-0.897,7.996,4.639,-7.507,14.485,-32.838,56.360,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.203,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:29.452639,-0.027,-0.809,5.981,2.869,-5.005,14.485,-33.168,55.728,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.203,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:29.534354,-0.012,-0.770,5.981,2.869,-5.005,14.469,-33.289,55.316,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.185,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:29.620188,0.010,-0.782,5.981,2.869,-5.005,14.474,-33.146,55.025,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.185,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:29.748167,0.025,-0.824,0.977,-2.991,-3.845,14.485,-32.827,54.712,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.185,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:29.836553,0.039,-0.888,2.258,-1.770,-6.226,14.469,-32.525,54.218,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.185,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:29.948365,0.031,-0.960,5.249,-0.305,-10.437,14.502,-32.311,53.388,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.166,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:30.017518,0.003,-1.005,7.751,1.709,-13.977,14.474,-32.212,52.152,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.166,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:30.130443,-0.020,-1.001,7.874,2.686,-14.099,14.474,-32.245,50.707,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.148,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:30.222546,-0.027,-0.944,5.127,1.526,-8.545,14.491,-32.355,49.532,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.148,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:30.333060,-0.021,-0.867,1.038,-1.282,-0.305,14.485,-32.355,49.103,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.166,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:30.434576,-0.003,-0.812,-1.892,-5.249,3.357,14.469,-32.091,49.318,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.166,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:30.646626,0.012,-0.836,2.869,-10.864,-6.653,14.474,-30.536,49.406,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.166,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:30.724414,-0.006,-0.903,8.301,-9.827,-15.686,14.491,-29.377,48.257,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.166,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:30.832628,-0.021,-0.942,8.301,-9.827,-15.686,14.485,-28.361,46.428,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.166,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:30.922346,-0.041,-0.959,8.301,-9.827,-15.686,14.474,-27.735,44.291,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.148,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:31.032726,-0.037,-0.946,8.301,-9.827,-15.686,14.491,-27.697,42.473,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.148,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:31.150082,-0.023,-0.918,8.301,-9.827,-15.686,14.474,-28.224,41.600,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.148,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:31.341956,0.013,-0.817,-6.897,11.353,7.080,14.458,-30.454,42.358,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.129,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:31.442167,0.041,-0.833,-7.324,7.690,4.089,14.458,-31.542,42.940,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.129,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:31.521250,0.059,-0.902,-2.869,2.991,-1.221,14.491,-32.212,43.116,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.166,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:31.621249,0.040,-0.978,1.709,-2.380,-7.874,14.474,-32.190,42.643,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.166,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:31.719414,0.017,-1.025,6.165,-5.920,-11.597,14.469,-31.696,41.638,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.222,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:31.840021,-0.010,-1.018,8.423,-7.080,-11.108,14.474,-30.910,40.474,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.222,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:31.922546,-0.028,-0.962,8.423,-7.080,-11.108,14.474,-30.185,39.501,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.240,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:32.019570,-0.023,-0.881,8.423,-7.080,-11.108,14.485,-30.009,38.782,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.240,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:32.129986,-0.021,-0.810,8.423,-7.080,-11.108,14.474,-30.536,38.007,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.259,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:32.230400,-0.025,-0.761,8.423,-7.080,-11.108,14.474,-31.685,36.815,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.259,52.85,34,0.00,0.50,0.00
2025-06-06T17:58:32.321556,-0.013,-0.727,8.423,-7.080,-11.108,14.474,-33.091,35.167,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.259,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:32.409732,-0.002,-0.769,8.423,-7.080,-11.108,14.474,-34.376,33.404,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.259,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:32.523305,-0.000,-0.852,-2.380,7.324,-15.015,14.485,-35.288,31.822,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.296,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:32.613988,0.008,-0.935,-3.418,1.099,-12.939,14.474,-35.629,30.394,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.296,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:32.717010,0.011,-0.988,-4.883,-3.601,-10.315,14.469,-35.349,29.246,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.351,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:32.813339,0.017,-0.995,-3.601,-6.348,-9.277,14.458,-34.678,28.290,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.351,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:32.914542,0.017,-0.955,-0.305,-7.935,-9.888,14.469,-33.777,27.334,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.425,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:33.019355,-0.006,-0.902,3.540,-7.080,-10.803,14.469,-32.794,26.301,-128305380748808945664.000,0,0,0,37.862698,-122.313080,-7.0,0.425,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:33.116623,-0.030,-0.848,3.540,-7.080,-10.803,14.474,-31.959,25.230,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.463,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:33.206728,-0.045,-0.806,3.540,-7.080,-10.803,14.491,-31.448,24.384,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.463,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:33.316451,-0.030,-0.801,3.540,-7.080,-10.803,14.458,-31.344,23.950,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.463,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:33.405754,-0.010,-0.834,3.540,-7.080,-10.803,14.469,-31.586,23.533,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.463,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:33.504468,0.014,-0.875,3.540,-7.080,-10.803,14.469,-32.053,22.665,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.463,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:33.604580,0.036,-0.897,7.996,7.751,-12.695,14.458,-32.596,21.456,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.463,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:33.710524,0.050,-0.905,10.376,5.737,-10.132,14.469,-33.118,20.264,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.463,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:33.799766,0.045,-0.915,11.963,2.502,-3.845,14.485,-33.470,19.556,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.463,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:33.915065,0.014,-0.917,14.832,-1.892,0.000,14.474,-33.503,19.396,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.481,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:34.007503,-0.025,-0.906,17.334,-4.883,0.732,14.474,-33.190,19.451,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.481,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:34.110476,-0.060,-0.868,17.334,-4.883,0.732,14.474,-32.662,19.479,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.481,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:34.205785,-0.058,-0.818,17.334,-4.883,0.732,14.469,-32.212,19.468,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.463,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:34.329232,-0.089,-0.037,-0.791,17.334,-4.883,0.732,14.474,-32.091,19.556,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.444,52.85,35,0.00,0.50
2025-06-06T17:58:34.412177,-0.014,-0.792,17.334,-4.883,0.732,14.474,-32.344,19.221,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.444,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:34.531100,-0.001,0.012,-0.835,-4.517,1.587,-9.949,14.491,-32.536,18.452,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.407,52.85,35,0.00,0.50
2025-06-06T17:58:34.634971,0.057,0.030,-0.907,-3.296,-2.686,-11.353,14.474,-32.536,18.452,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.388,52.85,35,0.00,0.50
2025-06-06T17:58:34.733578,0.112,0.042,-0.972,-2.075,-6.897,-9.827,14.447,-32.536,18.452,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.388,52.85,35,0.00,0.50
2025-06-06T17:58:34.840936,0.112,0.021,-1.026,-1.648,-10.986,-6.104,14.474,-32.536,18.452,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.351,52.85,35,0.00,0.50
2025-06-06T17:58:34.913678,-0.000,-1.035,-0.244,-14.709,-0.854,14.474,-32.536,18.452,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.351,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:35.033249,0.028,-0.013,-1.009,-0.061,-14.404,0.610,14.458,-32.536,18.452,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.314,52.85,35,0.00,0.50
2025-06-06T17:58:35.346035,-0.089,-0.050,-0.836,-0.061,-14.404,0.610,14.458,-25.812,13.876,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.296,52.85,35,0.00,0.50
2025-06-06T17:58:35.421798,-0.083,-0.045,-0.825,-0.061,-14.404,0.610,14.469,-26.038,12.508,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.259,52.85,35,0.00,0.50
2025-06-06T17:58:35.525046,-0.053,-0.029,-0.824,-0.061,-14.404,0.610,14.474,-26.647,10.882,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.259,52.85,35,0.00,0.50
2025-06-06T17:58:35.610811,0.000,-0.835,2.014,10.437,-14.832,14.485,-27.488,9.278,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.277,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:35.722885,0.025,0.038,-0.853,2.136,9.460,-10.132,14.469,-28.422,8.009,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.277,52.85,35,0.00,0.50
2025-06-06T17:58:35.813922,0.070,-0.900,5.066,6.653,-5.188,14.474,-29.229,7.240,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.277,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:35.913971,0.081,0.083,-0.972,9.644,2.441,-1.160,14.474,-29.685,6.932,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.296,52.85,35,0.00,0.50
2025-06-06T17:58:36.030923,0.083,0.054,-1.037,12.207,-0.061,1.831,14.474,-29.811,6.971,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.314,52.85,35,0.00,0.50
2025-06-06T17:58:36.113645,0.044,0.001,-1.052,11.658,-1.160,5.371,14.469,-29.745,7.322,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.314,52.85,35,0.00,0.50
2025-06-06T17:58:36.225823,0.001,-0.037,-1.012,7.690,-0.244,9.949,14.485,-29.663,8.102,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.333,52.85,35,0.00,0.50
2025-06-06T17:58:36.305159,-0.033,-0.037,-0.930,7.690,-0.244,9.949,14.485,-29.724,9.229,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.333,52.85,35,0.00,0.50
2025-06-06T17:58:36.413599,-0.054,-0.035,-0.832,7.690,-0.244,9.949,14.469,-30.086,10.327,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.314,52.85,35,0.00,0.50
2025-06-06T17:58:36.508702,-0.070,-0.035,-0.776,7.690,-0.244,9.949,14.474,-30.509,11.107,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.314,52.85,35,0.00,0.50
2025-06-06T17:58:36.614091,-0.044,-0.020,-0.794,7.690,-0.244,9.949,14.458,-30.806,11.530,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.277,52.85,35,0.00,0.50
2025-06-06T17:58:36.707037,-0.008,-0.865,-8.911,-0.366,1.282,14.469,-30.927,11.722,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.277,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:36.820729,0.066,-0.010,-0.949,-10.864,-4.211,1.404,14.469,-30.756,11.854,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.259,52.85,35,0.00,0.50
2025-06-06T17:58:36.899812,-0.003,-1.012,-10.864,-4.211,1.404,14.469,-30.756,11.854,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.259,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:37.037973,0.102,0.001,-1.038,-9.766,-12.939,4.089,14.474,-29.042,12.458,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.259,52.85,35,0.00,0.50
2025-06-06T17:58:37.127098,0.053,-0.010,-1.040,-7.935,-13.733,2.502,14.485,-27.708,12.821,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.259,52.85,35,0.00,0.50
2025-06-06T17:58:37.203593,-0.041,-0.036,-1.002,-7.935,-13.733,2.502,14.474,-26.417,12.887,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.277,52.85,35,0.00,0.50
2025-06-06T17:58:37.331129,-0.101,-0.047,-0.929,-7.935,-13.733,2.502,14.458,-25.659,12.552,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.277,52.85,35,0.00,0.50
2025-06-06T17:58:37.417678,-0.121,-0.048,-0.857,-7.935,-13.733,2.502,14.469,-25.774,11.711,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.333,52.85,35,0.00,0.50
2025-06-06T17:58:37.530221,-0.102,-0.048,-0.811,-7.935,-13.733,2.502,14.474,-26.653,10.618,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.333,52.85,35,0.00,0.50
2025-06-06T17:58:37.597815,-0.023,-0.765,-7.935,-13.733,2.502,14.491,-28.004,9.641,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.333,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:37.715497,-0.021,0.013,-0.739,-5.371,15.625,-3.845,14.474,-29.548,9.047,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.407,52.85,35,0.00,0.50
2025-06-06T17:58:37.839624,0.002,0.038,-0.762,-3.357,13.977,-1.160,14.469,-31.058,8.778,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.500,52.85,35,0.00,0.50
2025-06-06T17:58:37.903149,0.020,0.069,-0.813,0.000,10.925,2.197,14.458,-32.333,8.849,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.500,52.85,35,0.00,0.50
2025-06-06T17:58:38.015450,0.028,0.069,-0.892,3.418,9.033,4.944,14.469,-33.382,9.196,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.555,52.85,35,0.00,0.50
2025-06-06T17:58:38.097406,0.041,0.057,-0.967,5.798,6.531,8.545,14.474,-34.266,9.877,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.555,52.85,35,0.00,0.50
2025-06-06T17:58:38.216776,0.059,0.023,-1.010,5.981,5.127,11.230,14.458,-34.964,10.876,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.592,52.85,35,0.00,0.50
2025-06-06T17:58:38.308652,-0.026,-1.012,2.930,3.723,14.038,14.474,-35.546,12.123,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.592,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:38.399707,0.039,-0.064,-0.971,-2.502,1.343,18.311,14.485,-35.953,13.760,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.592,52.85,35,0.00,0.50
2025-06-06T17:58:38.522400,-0.011,-0.065,-0.901,-2.502,1.343,18.311,14.469,-36.227,15.617,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.592,52.85,35,0.00,0.50
2025-06-06T17:58:38.607178,-0.052,-0.047,-0.806,-2.502,1.343,18.311,14.474,-36.475,17.210,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.574,52.85,35,0.00,0.50
2025-06-06T17:58:38.720980,-0.073,-0.024,-0.722,-2.502,1.343,18.311,14.485,-36.760,18.116,-128305380748808945664.000,0,0,0,37.862701,-122.313080,-7.0,0.574,52.85,35,0.00,0.50
2025-06-06T17:58:38.798912,-0.065,0.007,-0.665,-14.893,1.404,-2.014,14.458,-36.980,18.248,-128305380748808945664.000,0,0,0,37.862705,-122.313080,-7.0,0.555,52.85,35,0.00,0.50
2025-06-06T17:58:38.915195,-0.033,0.020,-0.684,-13.855,-1.770,-5.981,14.485,-36.980,18.248,-128305380748808945664.000,0,0,0,37.862705,-122.313080,-7.0,0.555,52.85,35,0.00,0.50
2025-06-06T17:58:38.997710,0.011,0.036,-0.774,-12.634,-4.761,-5.005,14.469,-36.980,18.248,-128305380748808945664.000,0,0,0,37.862705,-122.313080,-7.0,0.537,52.85,35,0.00,0.50
2025-06-06T17:58:39.107004,0.062,0.042,-0.895,-10.437,-8.545,-0.854,14.485,-36.980,18.248,-128305380748808945664.000,0,0,0,37.862705,-122.313080,-7.0,0.537,52.85,35,0.00,0.50
2025-06-06T17:58:39.183677,0.044,-0.999,-7.812,-11.108,5.615,14.474,-35.024,17.139,-128305380748808945664.000,0,0,0,37.862705,-122.313080,-7.0,0.537,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:39.295736,0.072,0.022,-1.054,-4.883,-12.268,11.230,14.469,-34.052,18.001,-128305380748808945664.000,0,0,0,37.862705,-122.313080,-7.0,0.537,52.85,35,0.00,0.50
2025-06-06T17:58:39.413219,0.034,0.000,-1.051,-3.601,-10.864,15.015,14.474,-33.162,19.336,-128305380748808945664.000,0,0,0,37.862705,-122.313080,-7.0,0.518,52.85,35,0.00,0.50
